naam,bouwjaar,kunstenaar,locatie,latitude,longitude,omschrijving,eigendom,bron,url
"Vier jaargetijden","1889","Matthijs van Roggen","Nassausingel",51.843229,5.858481,"De vier gietijzeren standbeelden stellen de vier jaargetijden voor. Ze werden gegoten bij de beroemde Parijse gieterij Societé des Fonderies du Val d'Osne. Ze staan op sokkels van Naamse steen, die Matthijs van Roggen (1863-1909) maakte. De geschilderde beelden stellen respectievelijk vanaf het Keizer Karelplein de godinnen Flora (met uitbottende tak, lente), Ceres (met korenaren, zomer), Pomona (met druiventros, herfst) en Vesta (met vuurpot, winter) voor. De vier godinnen hebben min of meer dezelfde klassieke lichaamshouding, hetzelfde opgestoken haar en dezelfde klassieke gewaden. 

In 1889 werden ze aan de stad geschonken door twee plaatselijke verenigingen: het Baron Paulus Straalmanfonds (opgericht in 1826) en de Vereniging tot Verfraaiing van Nijmegen en Omstreken (opgericht in 1879). 

De beelden werden gegoten naar een ontwerp van de Franse beeldhouwer Mathurin Moreau. 
De maker van de sokkels, de in Nijmegen geboren Matthijs van Roggen, was de eigenaar van een steengroeve in de omgeving van Luik.

De godinnen hebben vanaf begin jaren zestig tot eind 2012 in het Hunnerpark gestaan omdat het midden van de Nassausingel als parkeerstrook werd ingericht. Na de aanleg van de Keizer Karel parkeergarage werd het groen van de  Nassausingel in ere hersteld en keerden de dames terug.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=32"
"Katholieke Gezellenvereeniging, gedenksteen","1890","Onbekend","Van Berchenstraat (Konlpinghuis)",51.8442790,5.85852424,"Natuurstenen gedenksteen, waarin links een schild met kruis is uitgebeeld. Daaronder staat in een kleine wimpel het bouwjaar van de uitbreiding van het Kolpinghuis, MDCCCXC (1890). De rechterhelft wordt ingenomen door een lange, gevouwen wimpel waarop 'Katholieke Gezellenvereeniging'staat met daaronder MDCCCLXXX (1880), het stichtingsjaar van de vereniging en/of het verenigingsgebouw. De lege ruimte op de steen is ingevuld met een versiering met rankmotief. De gevelsteen bevindt zich op de plek waar sinds 1880 de naam van het gebouw 'Josephshof' in het muurwerk was gemetseld met gele baksteen. Aan weerszijden zijn daarvan de omkadering en enkele letters nog zichtbaar.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=33"
"Negen leeuwen","1894","E.A.F. Bourgonjon","Stationsplein (muurvlakken tussen het 1e perron en de hal)",51.8435074,5.85300012,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=34"
"Leeuw","1895","Henri Leeuw sr.","Oranjesingel 14",51.8423821,5.86341265,"Geen informatie.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=35"
"Franciscus","1900","Onbekend","Van Oldenbarneveldtstraat 4",51.8412207,5.85638541,"Natuurstenen beeld van de heilige Franciscus staat in een met kruis bekroonde trapgevel van het pand van de zusterorde Franciscanessen. Het gebouw is ontworpen door de architecten J. Gielen en J. van de Pluijm.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=36"
"Mgr. Ferdinand Hamer","1902","Bart van Hove","Bisschop Hamerstraat",51.8427094,5.86009881,"Dit monument is opgericht om bisschop Ferdinand Hamer (1840-1900) te herdenken, die tijdens de Chinese Bokseropstand op een gruwelijke manier is omgekomen.
Ferdinand Hamer werd in de Nijmeegse Molenstraat geboren. Hij ging als missionaris van de Scheutisten in 1865 naar Mongolië. In 1900 bereikte de Bokseropstand dit gebied. Hamer werd door opstandelingen gevangen, gemarteld en verbrand. Zijn vreselijke dood kwam als een schok in Katholiek Nederland. Twee jaar na zijn dood wordt er na een landelijke geldinzamelingsactie een monument voor hem opgericht.

Het monument bestaat uit een bronzen standbeeld op een hoge, rijk versierde sokkel uit Naamse steen. Op de voorzijde van de sokkel is onder andere een palmtak afgebeeld, attribuut van martelaren, met de tekst ‘Ik blijf, gaat kinderen. God zij met u’. Daarboven staat de tekst: ‘De Nederlandse martelaren van chin. Mongolië gehuldigd door het vaderland 28 september 1902’.  
Aan de drie andere zijden zijn de bronzen portretten te zien van de drie omgekomen medepaters Jaspers, Zijlmans en Dobbe. Het standbeeld van Hamer zelf toont een strenge man met een lange baard, gehuld in bisschopskleding. Met zijn rechterhand lijkt hij de toeschouwer of voorbijganger te wenken.

Tot 1949 heeft het monument dichtbij Molenstraat 122 gestaan: het geboortehuis van bisschop Hamer aan de kop van de Verlengde Molenstraat.De naam van deze straat werd bij de plaatsing van het beeld veranderd in Bisschop Hamerstraat. In 1949 moest het beeld wijken voor noodwinkels en werd het verplaatst naar het middenplantsoen van de Van Schaeck Mathonsingel. Precies vijftig jaar later, in 1999 is het monument weer teruggeplaatst in de toen opnieuw ingerichte Bisschop Hamerstraat.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=37"
"Leeuw","1903","Onbekend","Groesbeekseweg (gevel Krayenhoffkazerne)",51.8340911,5.87236642,"Aan de Groesbeekseweg en Gelderselaan staan naast elkaar twee vrijwel identieke gebouwen, die aan het begin van de vorige eeuw werden gebouwd in de Hollandse neorenaissancestijl. Het zijn kazernecomplexen, beide ontworpen door G.W.J. Koolemans Beijnen, naar wie overigens een straat naast het terrein is vernoemd. In 1905 kwam de 'Eerste Infanteriekazerne' - nu Krayenhoffkazerne - gereed, een jaar later volgde de voltooiing van de 'Tweede Infanteriekazerne', die nu Snijderskazerne heet.
De Eerste Infanteriekazerne werd in 1934 vernoemd naar baron C.R.T. Krayenhoff, die leefde van 1758 tot 1840. Deze Nijmegenaar schopte het van arts tot vestingbouwkundige - ook rondom Nijmegen liet hij enkele forten bouwen - en werd uiteindelijk zelfs minister van oorlog. In deze functie gaf hij opdracht om heel Nederland gedetailleerd in kaart te brengen, iets wat nog niet eerder was gebeurd. In het eveneens naar hem vernoemde Krayenhoffparkje ligt, omringd door een hekwerk, zijn grafzerk.
De langgerekte Krayenhoffkazerne telt enkele mooie details, die ook terugkomen in de Snijderskazerne. Aan weerszijden van de ingang zijn de wapens van de provincie Gelderland en van Nijmegen aangebracht. De sluitsteen van de boog boven de ingang toont de gehelmde kop van Mars, de Romeinse god van de oorlog. Verder wordt de trapgevel boven de ingangspartij bekroond met een in natuursteen gehouwen leeuw. In 1941 werd deze leeuw door de Duitse bezetter van zijn plek gehaald.
Het oorspronkelijke hekwerk rondom het complex is grotendeels behouden gebleven. Ook een viertal wachthokjes staat er nog.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=38"
"Leeuw","1904","Onbekend","Gelderselaan 3 (gevel Snijderskazerne)",51.8327441,5.87382225,"De Snijderskazerne aan de Gelderselaan werd gebouwd in 1906, een jaar nadat iets noordelijker een vrijwel identiek complex werd opgeleverd. Beide complexen werden ontworpen door G.W.J. Koolemans Beijnen.
 De trapgevel boven de ingangspartij wordt bekroond met een in natuursteen gehouwen leeuw. In 1941 werd deze leeuw door de Duitse bezetter van zijn plek gehaald.
 De kazerne heette aanvankelijk Tweede Infanteriekazerne, maar werd in 1934 vernoemd naar generaal Snijders, die bevelhebber was tijdens de mobilisatie in 1914. De Eerste Infanteriekazerne werd in hetzelfde jaar vernoemd naar generaal Krayenhoff, die in de eerste helft van de 19de eeuw enkele forten rondom Nijmegen liet bouwen. Hij gaf tevens de opdracht om Nederland voor het eerst geheel (gedetailleerd) op kaart vast te leggen.
De Snijderskazerne staat op wat nu bekend is als het LIMOS-terrein. LIMOS staat voor de Luchtmacht Instructie en Militaire Opleidingen School, die van 1951 tot 1995 in het complex gevestigd was. Kort na 2000 zijn er in en om de kazerne woningen gebouwd.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=39"
"Vincentius Ferrerius","1904","Onbekend","Dominicanenstraat 6",51.8418239,5.87347833,"In de voorgevel van het voormalig St.-Vincentiusklooster staat de naamgever Vincentius. Het klooster is gebouwd voor de Dominicanessen die jarenlang in Nijmegen les hebben gegeven.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=40"
"Portretmedaillon","1907","Onbekend","Dominicanenstraat 145-147",51.8401788,5.87324521,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=41"
"Madonna","1909","Onbekend","Dobbelmannweg 1",51.8303817,5.84731902,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=42"
"Johanna de Lestonnac","1912","Onbekend","Dobbelmannweg 5",51.8293176,5.84705212,"De heilige Johanna de L'Estonnac, weduwe met zeven kinderen, trad op haar 46ste toe tot een gemeenschap van cisterciënzers in Toulouse. Na een visioen van Maria, die haar een beeld voorhield van Johanna die verdwaalde kinderen hielp, richtte ze de congregatie 'Compagnie de Maire Notre Dame (Zusters van het gezelschap van Maria)' op met als doel het opvoeden en onderwijzen van meisjes.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=43"
"Reliëfs over zang en theater","1914","Henri Leeuw jr.","Keizer Karelplein (De Vereeniging)",51.8415487,5.86059162,"Geen omschrijving.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=45"
"Tien Mercuriuskoppen en een leeuwenkop","1915","Wim Retera","Mariënburg 67",51.844465,5.867302,"De omgeving van het Mariënburg was in de tijd van de bouw het Nijmeegs centrum van de financiële sector.
Een van de banken was de Bijbank voor de Nederlandsche Bank te Nijmegen. Het gebouw heeft kenmerken van de Jugendstil. Dit is een kunststroming uit 1880-1914, die voorkomt in zowel gebouwen, meubels als siervoorwerpen. Met name ornamenten die voortkomen uit bloemen-en vogelmotieven zijn kernmerkend voor deze stroming.

De gehelmde koppen zijn uitgevoerd in de typische vormen van rond 1900. Ze maken, samen met de leeuwenkop, deel uit van de ornamenten in de voorgevel.
Het gebouw is opgenomen in het monumentenregister van Nijmegen.","particulier","Monumentenregister Nijmegen","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=49"
"Madonna","1918","Onbekend","De Ruyterstraat 61",51.8381526,5.85662189,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=50"
"Mercuriuskop","1920","Egidius Everaerts","Hertogstraat 70",51.8452991,5.86841741,"Dit monumentale gebouw is verrijkt met beeldhouwwerk van Egidius Everaerts.
Deze Belgische beeldhouwer (1877-1949) heeft ook beelden gemaakt voor onder meer Huize Heyendaal en het Canisiuscollege.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=52"
"Masker (hoekelement)","1922","Gijs Jacobs van den Hof","Marterstraat 45",51.828380,5.852325,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=56"
"Bank","1922","Jan van Rijckevorsel","Bredestraat/Kerkstraat/Korte Bredestraat",51.8398102,5.82558845,"Op 17 juni 1922 werd de electrische tramlijn tussen Nijmegen en het inmidels verdwenen landgoed de Witte Poort in Neerbosch feestelijk geopend. Talrijke locale hoogwaardigheidsbekleders maakten de eerste officiële  rit met de tram, gadesgeslagen door honderden mensen uit Neerbosch, Hees en Nijmegen.
Op diezelfde dag werd op de hoek van Kerkstraat en de Bredestraat in Hees een natuurstenen bank onthuld, ter ere van degenen die zich hadden ingezet voor de aanleg van de nieuwe tramlijn. Dr. J.J. de Blécourt, voorzitter van de vereniging 'Dorpsbelang', mocht als eerste plaatsnemen op de Stenen Bank.

De bank, die is ontworpen door Jan van Vucht Tyssen en Jan van Rijckevorsel, heeft twee gebeitelde opschriften.
In de rugleuning staan de namen van het bestuur van de  Vereeniging Dorpsbelang. De tekst in de rugleuning luidt:   'Ter herinnering aan het tot standkomen der electrische tramverbinding 1922'. 
Op 5 juni 1955 reed de electrische tram voor het laatst door Hees. De Stenen bank werd in 1998 gerenoveerd. 

Lange tijd waren de drie dorpen Hees, Neerbosch en Hatert geliefd als buitengebied voor rijke stedelingen. Vanaf de 17e eeuw tot in de 19e eeuw werden stukken land en heide opgekocht voor de aanleg van buitenplaatsen,  landgoederen en villa’s. Daarna verschuift de aandacht van deze ‘oude tuin van Nijmegen’ naar het gebied ten oosten van de stad. 
Dan worden Beek, Ubbergen, Berg en Dal en Groesbeek populair. Als reactie hierop richtten in 1911 enkele notabelen in hotel ‘Heeslust’ de vereniging ‘Dorpsbelang’ op onder voorzitterschap van de huisarts Dr. J.J. de Blécourt. Het streven was om het Schependom weer onder de aandacht te brengen van toeristen, van Nijmegenaren én vooral van het stadsbestuur.

De bank is ontworpen door Jan van Rijckevorsel en Jan van Vucht Tyssen. Het zal geen toeval zijn dat Jan van Vucht Tyssen tevens de portrettist was van dr. J.J. de Blécourt, de dorpsarts van Hees die in 1912 voorzitter van de vereniging ‘Dorpsbelang’ werd.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=57"
"Bank","1922","Jan van Vucht Tyssen","Bredestraat/Kerkstraat/Korte Bredestraat",51.8398102,5.82558845,"Op 17 juni 1922 werd de electrische tramlijn tussen Nijmegen en het inmidels verdwenen landgoed de Witte Poort in Neerbosch feestelijk geopend. Talrijke locale hoogwaardigheidsbekleders maakten de eerste officiële  rit met de tram, gadesgeslagen door honderden mensen uit Neerbosch, Hees en Nijmegen.
Op diezelfde dag werd op de hoek van Kerkstraat en de Bredestraat in Hees een natuurstenen bank onthuld, ter ere van degenen die zich hadden ingezet voor de aanleg van de nieuwe tramlijn. Dr. J.J. de Blécourt, voorzitter van de vereniging 'Dorpsbelang', mocht als eerste plaatsnemen op de Stenen Bank.

De bank, die is ontworpen door Jan van Vucht Tyssen en Jan van Rijckevorsel, heeft twee gebeitelde opschriften.
In de rugleuning staan de namen van het bestuur van de  Vereeniging Dorpsbelang. De tekst in de rugleuning luidt:   'Ter herinnering aan het tot standkomen der electrische tramverbinding 1922'. 
Op 5 juni 1955 reed de electrische tram voor het laatst door Hees. De Stenen bank werd in 1998 gerenoveerd. 

Lange tijd waren de drie dorpen Hees, Neerbosch en Hatert geliefd als buitengebied voor rijke stedelingen. Vanaf de 17e eeuw tot in de 19e eeuw werden stukken land en heide opgekocht voor de aanleg van buitenplaatsen,  landgoederen en villa’s. Daarna verschuift de aandacht van deze ‘oude tuin van Nijmegen’ naar het gebied ten oosten van de stad. 
Dan worden Beek, Ubbergen, Berg en Dal en Groesbeek populair. Als reactie hierop richtten in 1911 enkele notabelen in hotel ‘Heeslust’ de vereniging ‘Dorpsbelang’ op onder voorzitterschap van de huisarts Dr. J.J. de Blécourt. Het streven was om het Schependom weer onder de aandacht te brengen van toeristen, van Nijmegenaren én vooral van het stadsbestuur.

De bank is ontworpen door Jan van Rijckevorsel en Jan van Vucht Tyssen. Het zal geen toeval zijn dat Jan van Vucht Tyssen tevens de portrettist was van dr. J.J. de Blécourt, de dorpsarts van Hees die in 1912 voorzitter van de vereniging ‘Dorpsbelang’ werd.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=57"
"Dominicus en Albertus Magnus","1948","Jac Maris","Berg en Dalseweg 40 (Maria Geboortekerk)",51.8425393,5.87321772,"Boven het hoofdportaal van de kerk staan op links Dominicus en op rechts Albertus Magnus.De laatste is gemaakt door Jac Maris, ter vervanging van een Mariabeeld dat hier eerst gestaan heeft.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=58"
"Vier gevelbeelden","1925","Egidius Everaerts","Berg en Dalseweg 81",51.8402093,5.87887280,"Op dit monumentale gebouw zijn vier belangrijke Jezuïeten voorgesteld: Ignatius, Aloysius, Petrus Canisius en Johannes Berchmans. De heren brengen de oorspronkelijke functie van het gebouw in herinnering.

Het Sint Canisius College is voortgekomen uit het Sittardse Aloysius College. De orde der Jezuïeten, die sinds 1851 aan het Aloysius verbonden was, besloot namelijk in 1897 school en internaat naar Nijmegen te verplaatsen. Belangrijke reden voor de verhuizing waren de niet-centrale ligging van Sittard en de behoefte aan een beter gebouw. Juist Nijmegen was aantrekkelijk door de aangename ligging, het gezonde klimaat en de gemakkelijke verbinding met alle delen van het land. 

Op een uitgestrekt terrein in de omgeving van Nijmegen bouwde Nicolaas Molenaar het voorname gebouw met de monumentale voorgevel, die uitmondt in drie hoge spitse daken. De bouwstijl - Neo-Hollandse Renaissance - verraadt duidelijk de invloed van P. Cuypers. Dat is de architect die ook het Rijksmuseum in Amsterdam ontwierp, waaraan het collegegebouw aan de Berg en Dalseweg 81 dan ook doet denken. 

In 1900 startte de school in Nijmegen met 193 internen en 28 externen. Veruit de meeste leraren waren paters Jezuïeten. Het college had een Gymnasium en een HBS (na Rolduc de tweede katholieke in Nederland).

Er zijn nog lang onderwijsinstellingen gehuisvest geweest in dit pand. Maar de orde van de Jezuïeten is niet langer met dit pand verbonden.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=61"
